Date : 2025-04-15 22:55:55
Directory : /home/saransh/Projects/Cypherrock
Total : 3927 files,  693559 codes, 78553 comments, 103649 blanks, all 875761 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| /home/saransh/Projects/Cypherrock/trezor-firmware/core/embed/rust/src/micropython/list.rs                                                                 | Rust             |        185 |         33 |         38 |        256 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/core/embed/rust/src/micropython/macros.rs                                                               | Rust             |        207 |         21 |         25 |        253 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/core/embed/rust/src/micropython/map.rs                                                                  | Rust             |        144 |         44 |         27 |        215 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/core/embed/rust/src/micropython/mod.rs                                                                  | Rust             |         22 |          0 |          3 |         25 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/core/embed/rust/src/micropython/module.rs                                                               | Rust             |          3 |          1 |          3 |          7 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/core/embed/rust/src/micropython/obj.rs                                                                  | Rust             |        295 |        105 |         76 |        476 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/core/embed/rust/src/micropython/print.rs                                                                | Rust             |         13 |          2 |          2 |         17 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/core/embed/rust/src/micropython/qstr.rs                                                                 | Rust             |         51 |         10 |         14 |         75 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/core/embed/rust/src/micropython/runtime.rs                                                              | Rust             |         58 |         26 |         12 |         96 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/core/embed/rust/src/micropython/simple_type.rs                                                          | Rust             |         19 |         23 |          5 |         47 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/core/embed/rust/src/micropython/testutil.rs                                                             | Rust             |         24 |          7 |          3 |         34 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/core/embed/rust/src/micropython/time.rs                                                                 | Rust             |          8 |          0 |          4 |         12 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/core/embed/rust/src/micropython/typ.rs                                                                  | Rust             |         25 |          5 |          8 |         38 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/core/embed/rust/src/micropython/util.rs                                                                 | Rust             |        103 |         33 |         15 |        151 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/core/embed/rust/src/protobuf/decode.rs                                                                  | Rust             |        193 |         44 |         17 |        254 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/core/embed/rust/src/protobuf/defs.rs                                                                    | Rust             |        190 |         21 |         32 |        243 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/core/embed/rust/src/protobuf/encode.rs                                                                  | Rust             |        180 |         17 |         30 |        227 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/core/embed/rust/src/protobuf/error.rs                                                                   | Rust             |         19 |          0 |          6 |         25 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/core/embed/rust/src/protobuf/mod.rs                                                                     | Rust             |          6 |          0 |          1 |          7 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/core/embed/rust/src/protobuf/obj.rs                                                                     | Rust             |        261 |         61 |         42 |        364 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/core/embed/rust/src/protobuf/zigzag.rs                                                                  | Rust             |          6 |          1 |          3 |         10 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/core/embed/rust/src/storage/mod.rs                                                                      | Rust             |         55 |          1 |         10 |         66 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/core/embed/rust/src/strutil.rs                                                                          | Rust             |        188 |          9 |         28 |        225 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/core/embed/rust/src/time.rs                                                                             | Rust             |        199 |         37 |         48 |        284 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/core/embed/rust/src/trace.rs                                                                            | Rust             |        176 |         10 |         32 |        218 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/core/embed/rust/src/translations/blob.rs                                                                | Rust             |        270 |         92 |         56 |        418 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/core/embed/rust/src/translations/flash.rs                                                               | Rust             |         62 |         49 |         13 |        124 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/core/embed/rust/src/translations/generated/mod.rs                                                       | Rust             |          1 |          0 |          1 |          2 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/core/embed/rust/src/translations/generated/translated_string.rs                                         | Rust             |      4,095 |          3 |          5 |      4,103 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/core/embed/rust/src/translations/mod.rs                                                                 | Rust             |         24 |          8 |          4 |         36 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/core/embed/rust/src/translations/obj.rs                                                                 | Rust             |        163 |         48 |         30 |        241 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/core/embed/rust/src/translations/public_keys.rs                                                         | Rust             |         11 |          1 |          3 |         15 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/core/embed/rust/src/translations/translated_string.rs                                                   | Rust             |         20 |         24 |          7 |         51 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/core/embed/rust/src/trezorhal/bip39.rs                                                                  | Rust             |         18 |          2 |          4 |         24 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/core/embed/rust/src/trezorhal/bitblt.rs                                                                 | Rust             |        256 |        145 |         48 |        449 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/core/embed/rust/src/trezorhal/buffers.rs                                                                | Rust             |         87 |          4 |         11 |        102 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/core/embed/rust/src/trezorhal/display.rs                                                                | Rust             |        167 |          0 |         30 |        197 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/core/embed/rust/src/trezorhal/dma2d.rs                                                                  | Rust             |         57 |         36 |         11 |        104 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/core/embed/rust/src/trezorhal/fatal_error.rs                                                            | Rust             |         52 |          9 |         12 |         73 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/core/embed/rust/src/trezorhal/ffi.rs                                                                    | Rust             |          6 |          0 |          2 |          8 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/core/embed/rust/src/trezorhal/haptic.rs                                                                 | Rust             |         16 |          0 |          4 |         20 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/core/embed/rust/src/trezorhal/io.rs                                                                     | Rust             |          9 |          0 |          3 |         12 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/core/embed/rust/src/trezorhal/mod.rs                                                                    | Rust             |         31 |          0 |          5 |         36 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/core/embed/rust/src/trezorhal/model.rs                                                                  | Rust             |          9 |          2 |          4 |         15 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/core/embed/rust/src/trezorhal/random.rs                                                                 | Rust             |         40 |          4 |          7 |         51 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/core/embed/rust/src/trezorhal/rgb_led.rs                                                                | Rust             |          7 |          0 |          3 |         10 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/core/embed/rust/src/trezorhal/secbool.rs                                                                | Rust             |          3 |          0 |          3 |          6 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/core/embed/rust/src/trezorhal/slip39.rs                                                                 | Rust             |         17 |         10 |          4 |         31 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/core/embed/rust/src/trezorhal/storage.rs                                                                | Rust             |        255 |         54 |         43 |        352 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/core/embed/rust/src/trezorhal/time.rs                                                                   | Rust             |         10 |          0 |          4 |         14 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/core/embed/rust/src/trezorhal/translations.rs                                                           | Rust             |         18 |          9 |          5 |         32 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/core/embed/rust/src/trezorhal/usb.rs                                                                    | Rust             |          4 |          0 |          2 |          6 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/core/embed/rust/src/trezorhal/uzlib.rs                                                                  | Rust             |        151 |         60 |         32 |        243 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/core/embed/rust/src/trezorhal/wordlist.rs                                                               | Rust             |        164 |         24 |         25 |        213 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/core/embed/rust/src/ui/animation.rs                                                                     | Rust             |         50 |         10 |          8 |         68 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/core/embed/rust/src/ui/api/bootloader_c.rs                                                              | Rust             |        128 |          2 |         23 |        153 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/core/embed/rust/src/ui/api/common_c.rs                                                                  | Rust             |         54 |          2 |          9 |         65 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/core/embed/rust/src/ui/api/mod.rs                                                                       | Rust             |          3 |          0 |          2 |          5 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/core/embed/rust/src/ui/backlight.rs                                                                     | Rust             |         32 |          9 |          5 |         46 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/core/embed/rust/src/ui/button_request.rs                                                                | Rust             |         49 |          2 |          8 |         59 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/core/embed/rust/src/ui/component/bar.rs                                                                 | Rust             |         49 |          0 |          9 |         58 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/core/embed/rust/src/ui/component/base.rs                                                                | Rust             |        431 |         94 |         87 |        612 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/core/embed/rust/src/ui/component/border.rs                                                              | Rust             |         58 |          0 |         11 |         69 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/core/embed/rust/src/ui/component/button_request.rs                                                      | Rust             |         90 |          3 |         16 |        109 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/core/embed/rust/src/ui/component/cached_jpeg.rs                                                         | Rust             |         80 |          0 |         14 |         94 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/core/embed/rust/src/ui/component/connect.rs                                                             | Rust             |         79 |          0 |         16 |         95 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/core/embed/rust/src/ui/component/empty.rs                                                               | Rust             |         21 |          0 |          8 |         29 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/core/embed/rust/src/ui/component/image.rs                                                               | Rust             |        124 |          4 |         21 |        149 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/core/embed/rust/src/ui/component/jpeg.rs                                                                | Rust             |         62 |          2 |         11 |         75 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/core/embed/rust/src/ui/component/label.rs                                                               | Rust             |        126 |          1 |         28 |        155 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/core/embed/rust/src/ui/component/map.rs                                                                 | Rust             |        104 |          0 |         20 |        124 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/core/embed/rust/src/ui/component/marquee.rs                                                             | Rust             |        220 |         10 |         33 |        263 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/core/embed/rust/src/ui/component/maybe.rs                                                               | Rust             |        128 |         11 |         25 |        164 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/core/embed/rust/src/ui/component/mod.rs                                                                 | Rust             |         51 |          1 |          3 |         55 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/core/embed/rust/src/ui/component/pad.rs                                                                 | Rust             |         53 |          0 |         11 |         64 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/core/embed/rust/src/ui/component/paginated.rs                                                           | Rust             |         11 |          8 |          6 |         25 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/core/embed/rust/src/ui/component/placed.rs                                                              | Rust             |        261 |          0 |         43 |        304 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/core/embed/rust/src/ui/component/qr_code.rs                                                             | Rust             |        168 |          0 |         29 |        197 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/core/embed/rust/src/ui/component/swipe.rs                                                               | Rust             |        153 |         13 |         27 |        193 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/core/embed/rust/src/ui/component/swipe_detect.rs                                                        | Rust             |        331 |         18 |         53 |        402 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/core/embed/rust/src/ui/component/text/common.rs                                                         | Rust             |         81 |         18 |         17 |        116 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/core/embed/rust/src/ui/component/text/formatted.rs                                                      | Rust             |        134 |         11 |         23 |        168 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/core/embed/rust/src/ui/component/text/layout.rs                                                         | Rust             |        665 |        135 |        105 |        905 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/core/embed/rust/src/ui/component/text/mod.rs                                                            | Rust             |          7 |          0 |          2 |          9 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/core/embed/rust/src/ui/component/text/op.rs                                                             | Rust             |        214 |         46 |         36 |        296 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/core/embed/rust/src/ui/component/text/paragraphs.rs                                                     | Rust             |        641 |         66 |         98 |        805 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/core/embed/rust/src/ui/component/text/util.rs                                                           | Rust             |        100 |         22 |          6 |        128 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/core/embed/rust/src/ui/component/timeout.rs                                                             | Rust             |         49 |          2 |          9 |         60 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/core/embed/rust/src/ui/constant.rs                                                                      | Rust             |         10 |          2 |          2 |         14 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/core/embed/rust/src/ui/display/color.rs                                                                 | Rust             |        157 |          5 |         29 |        191 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/core/embed/rust/src/ui/display/font.rs                                                                  | Rust             |        252 |         56 |         49 |        357 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/core/embed/rust/src/ui/display/image.rs                                                                 | Rust             |        183 |          6 |         37 |        226 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/core/embed/rust/src/ui/display/loader/circular.rs                                                       | Rust             |        365 |         14 |         51 |        430 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/core/embed/rust/src/ui/display/loader/circular_thin.rs                                                  | Rust             |        282 |         14 |         38 |        334 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/core/embed/rust/src/ui/display/loader/mod.rs                                                            | Rust             |         42 |          0 |          9 |         51 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/core/embed/rust/src/ui/display/loader/rectangular.rs                                                    | Rust             |         23 |          0 |          3 |         26 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/core/embed/rust/src/ui/display/loader/small.rs                                                          | Rust             |         40 |          4 |         10 |         54 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/core/embed/rust/src/ui/display/loader/starry.rs                                                         | Rust             |         57 |          0 |         11 |         68 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/core/embed/rust/src/ui/display/mod.rs                                                                   | Rust             |        911 |         90 |        164 |      1,165 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/core/embed/rust/src/ui/display/tjpgd.rs                                                                 | Rust             |        140 |          2 |         18 |        160 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/core/embed/rust/src/ui/display/toif.rs                                                                  | Rust             |        266 |         14 |         61 |        341 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/core/embed/rust/src/ui/event.rs                                                                         | Rust             |         65 |         11 |          9 |         85 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/core/embed/rust/src/ui/flow/base.rs                                                                     | Rust             |         61 |         26 |         21 |        108 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/core/embed/rust/src/ui/flow/mod.rs                                                                      | Rust             |          7 |          0 |          2 |          9 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/core/embed/rust/src/ui/flow/page.rs                                                                     | Rust             |         88 |          2 |         13 |        103 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/core/embed/rust/src/ui/flow/swipe.rs                                                                    | Rust             |        288 |         53 |         46 |        387 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/core/embed/rust/src/ui/geometry.rs                                                                      | Rust             |        614 |         61 |        132 |        807 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/core/embed/rust/src/ui/layout/mod.rs                                                                    | Rust             |          7 |          0 |          3 |         10 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/core/embed/rust/src/ui/layout/obj.rs                                                                    | Rust             |        460 |         50 |         75 |        585 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/core/embed/rust/src/ui/layout/result.rs                                                                 | Rust             |          7 |          0 |          3 |         10 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/core/embed/rust/src/ui/layout/simplified.rs                                                             | Rust             |        109 |          0 |         21 |        130 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/core/embed/rust/src/ui/layout/util.rs                                                                   | Rust             |        181 |         10 |         24 |        215 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/core/embed/rust/src/ui/lerp.rs                                                                          | Rust             |         77 |          8 |         12 |         97 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/core/embed/rust/src/ui/mod.rs                                                                           | Rust             |         24 |          0 |          5 |         29 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/core/embed/rust/src/ui/model_mercury/bootloader/intro.rs                                                | Rust             |        111 |          0 |         12 |        123 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/core/embed/rust/src/ui/model_mercury/bootloader/menu.rs                                                 | Rust             |        107 |          0 |         13 |        120 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/core/embed/rust/src/ui/model_mercury/bootloader/mod.rs                                                  | Rust             |        455 |          5 |         71 |        531 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/core/embed/rust/src/ui/model_mercury/bootloader/welcome.rs                                              | Rust             |         80 |          0 |         16 |         96 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/core/embed/rust/src/ui/model_mercury/component/address_details.rs                                       | Rust             |        192 |          3 |         22 |        217 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/core/embed/rust/src/ui/model_mercury/component/binary_selection.rs                                      | Rust             |         78 |          4 |         13 |         95 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/core/embed/rust/src/ui/model_mercury/component/bl_confirm.rs                                            | Rust             |        251 |          6 |         28 |        285 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/core/embed/rust/src/ui/model_mercury/component/button.rs                                                | Rust             |        493 |         18 |         59 |        570 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/core/embed/rust/src/ui/model_mercury/component/choose_credential.rs                                     | Rust             |         86 |          1 |         15 |        102 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/core/embed/rust/src/ui/model_mercury/component/coinjoin_progress.rs                                     | Rust             |        148 |          2 |         20 |        170 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/core/embed/rust/src/ui/model_mercury/component/error.rs                                                 | Rust             |         91 |          0 |         19 |        110 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/core/embed/rust/src/ui/model_mercury/component/fido.rs                                                  | Rust             |         78 |          0 |         11 |         89 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/core/embed/rust/src/ui/model_mercury/component/fido_icons.rs                                            | Rust             |         71 |          4 |          6 |         81 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/core/embed/rust/src/ui/model_mercury/component/footer.rs                                                | Rust             |        401 |         12 |         51 |        464 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/core/embed/rust/src/ui/model_mercury/component/frame.rs                                                 | Rust             |        338 |          2 |         54 |        394 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/core/embed/rust/src/ui/model_mercury/component/header.rs                                                | Rust             |        230 |          0 |         29 |        259 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/core/embed/rust/src/ui/model_mercury/component/hold_to_confirm.rs                                       | Rust             |        320 |          2 |         51 |        373 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/core/embed/rust/src/ui/model_mercury/component/homescreen.rs                                            | Rust             |        790 |          7 |        146 |        943 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/core/embed/rust/src/ui/model_mercury/component/keyboard/bip39.rs                                        | Rust             |        216 |         39 |         31 |        286 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/core/embed/rust/src/ui/model_mercury/component/keyboard/common.rs                                       | Rust             |        131 |         45 |         17 |        193 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/core/embed/rust/src/ui/model_mercury/component/keyboard/mnemonic.rs                                     | Rust             |        201 |         15 |         25 |        241 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/core/embed/rust/src/ui/model_mercury/component/keyboard/mod.rs                                          | Rust             |          7 |          0 |          2 |          9 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/core/embed/rust/src/ui/model_mercury/component/keyboard/passphrase.rs                                   | Rust             |        406 |         38 |         60 |        504 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/core/embed/rust/src/ui/model_mercury/component/keyboard/pin.rs                                          | Rust             |        598 |         21 |         96 |        715 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/core/embed/rust/src/ui/model_mercury/component/keyboard/slip39.rs                                       | Rust             |        243 |         53 |         37 |        333 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/core/embed/rust/src/ui/model_mercury/component/keyboard/word_count.rs                                   | Rust             |        138 |          2 |         22 |        162 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/core/embed/rust/src/ui/model_mercury/component/loader.rs                                                | Rust             |        235 |         22 |         47 |        304 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/core/embed/rust/src/ui/model_mercury/component/mod.rs                                                   | Rust             |         93 |          0 |          3 |         96 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/core/embed/rust/src/ui/model_mercury/component/number_input.rs                                          | Rust             |        159 |          0 |         27 |        186 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/core/embed/rust/src/ui/model_mercury/component/number_input_slider.rs                                   | Rust             |        219 |          0 |         38 |        257 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/core/embed/rust/src/ui/model_mercury/component/progress.rs                                              | Rust             |        135 |          0 |         16 |        151 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/core/embed/rust/src/ui/model_mercury/component/prompt_screen.rs                                         | Rust             |        113 |          5 |         16 |        134 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/core/embed/rust/src/ui/model_mercury/component/result.rs                                                | Rust             |        166 |          4 |         32 |        202 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/core/embed/rust/src/ui/model_mercury/component/scroll.rs                                                | Rust             |        144 |          7 |         24 |        175 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/core/embed/rust/src/ui/model_mercury/component/share_words.rs                                           | Rust             |        338 |         12 |         46 |        396 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/core/embed/rust/src/ui/model_mercury/component/status_screen.rs                                         | Rust             |        244 |          4 |         44 |        292 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/core/embed/rust/src/ui/model_mercury/component/swipe_content.rs                                         | Rust             |        339 |          0 |         64 |        403 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/core/embed/rust/src/ui/model_mercury/component/swipe_up_screen.rs                                       | Rust             |         72 |          1 |         12 |         85 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/core/embed/rust/src/ui/model_mercury/component/tap_to_confirm.rs                                        | Rust             |        218 |          2 |         30 |        250 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/core/embed/rust/src/ui/model_mercury/component/updatable_more_info.rs                                   | Rust             |         72 |          0 |         11 |         83 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/core/embed/rust/src/ui/model_mercury/component/vertical_menu.rs                                         | Rust             |        331 |         16 |         59 |        406 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/core/embed/rust/src/ui/model_mercury/component/welcome_screen.rs                                        | Rust             |         73 |          0 |         13 |         86 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/core/embed/rust/src/ui/model_mercury/constant.rs                                                        | Rust             |         17 |          0 |          6 |         23 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/core/embed/rust/src/ui/model_mercury/cshape/keyboard_overlay.rs                                         | Rust             |         50 |          4 |         18 |         72 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/core/embed/rust/src/ui/model_mercury/cshape/loader.rs                                                   | Rust             |         34 |          0 |          5 |         39 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/core/embed/rust/src/ui/model_mercury/cshape/mod.rs                                                      | Rust             |         10 |          0 |          6 |         16 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/core/embed/rust/src/ui/model_mercury/cshape/unlock_overlay.rs                                           | Rust             |         77 |         18 |         22 |        117 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/core/embed/rust/src/ui/model_mercury/flow/confirm_action.rs                                             | Rust             |        281 |          7 |         36 |        324 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/core/embed/rust/src/ui/model_mercury/flow/confirm_fido.rs                                               | Rust             |        169 |          3 |         18 |        190 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/core/embed/rust/src/ui/model_mercury/flow/confirm_firmware_update.rs                                    | Rust             |        129 |          0 |         13 |        142 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/core/embed/rust/src/ui/model_mercury/flow/confirm_output.rs                                             | Rust             |        405 |         10 |         38 |        453 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/core/embed/rust/src/ui/model_mercury/flow/confirm_reset.rs                                              | Rust             |        153 |          2 |         17 |        172 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/core/embed/rust/src/ui/model_mercury/flow/confirm_set_new_pin.rs                                        | Rust             |        129 |          1 |         13 |        143 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/core/embed/rust/src/ui/model_mercury/flow/confirm_summary.rs                                            | Rust             |        177 |          7 |         18 |        202 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/core/embed/rust/src/ui/model_mercury/flow/continue_recovery.rs                                          | Rust             |        314 |          1 |         27 |        342 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/core/embed/rust/src/ui/model_mercury/flow/get_address.rs                                                | Rust             |        207 |          8 |         21 |        236 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/core/embed/rust/src/ui/model_mercury/flow/mod.rs                                                        | Rust             |         35 |          0 |          3 |         38 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/core/embed/rust/src/ui/model_mercury/flow/prompt_backup.rs                                              | Rust             |        135 |          0 |         13 |        148 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/core/embed/rust/src/ui/model_mercury/flow/request_number.rs                                             | Rust             |        122 |          0 |         15 |        137 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/core/embed/rust/src/ui/model_mercury/flow/request_passphrase.rs                                         | Rust             |         75 |          0 |         11 |         86 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/core/embed/rust/src/ui/model_mercury/flow/set_brightness.rs                                             | Rust             |        129 |          0 |         15 |        144 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/core/embed/rust/src/ui/model_mercury/flow/show_share_words.rs                                           | Rust             |        124 |          0 |         13 |        137 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/core/embed/rust/src/ui/model_mercury/flow/show_tutorial.rs                                              | Rust             |        190 |          0 |         17 |        207 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/core/embed/rust/src/ui/model_mercury/flow/util.rs                                                       | Rust             |        270 |          1 |         32 |        303 |
